,id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
11170,2228508,323294,1106,2.0,,49.0,,,,,
11171,2228501,323294,1264,0.027,8.0,1.0,0.016,0.051,0.026,,2015.0
11172,2228447,323294,1108,0.0,1.0,1.0,,,0.0,,2015.0
11173,2228515,323294,1185,0.0,1.0,1.0,,,0.0,,2015.0
11174,2228455,323294,1263,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11175,2228510,323294,1079,11.0,8.0,1.0,10.6,11.5,10.9,,2015.0
11176,2228514,323294,1122,0.0,1.0,1.0,,,0.0,,2015.0
11177,2228532,323294,2019,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11178,2228483,323294,1011,0.0,3.0,1.0,0.0,0.0,0.0,,2015.0
11179,2228556,323294,2026,0.0,,4.0,,,,,
11180,2228468,323294,1109,19.0,8.0,1.0,16.0,21.8,19.3,,2015.0
11181,2228546,323294,1331,0.0,,4.0,,,,,
11182,2228451,323294,1280,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11183,2228529,323294,1414,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11184,2228551,323294,2020,0.0,,4.0,,,,,
11185,2228463,323294,1306,0.016,8.0,1.0,0.013,0.018,0.016,,2015.0
11186,2228505,323294,1404,0.05,8.0,1.0,0.016,0.106,0.026,,2015.0
11187,2228450,323294,1273,0.042,8.0,1.0,0.01,0.113,0.024,,2015.0
11188,2228512,323294,1123,25.0,1.0,1.0,,,25.0,,2015.0
11189,2228542,323294,1184,0.0,1.0,1.0,,,0.0,,2015.0
11190,2228525,323294,2012,0.076,8.0,1.0,0.038,0.112,0.09,,2015.0
11191,2228548,323294,2010,0.061,,4.0,,,,,
11192,2228489,323294,1075,0.0,3.0,1.0,0.0,0.0,0.0,,2015.0
11193,2228531,323294,1303,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11194,2228485,323294,1051,2.2,13.0,1.0,0.9,2.84,2.16,,2001.0
11195,2228486,323294,1098,0.87,13.0,1.0,0.804,0.908,0.874,,2001.0
11196,2228482,323294,1010,4.17,3.0,1.0,3.76,4.47,4.28,,2015.0
11197,2228555,323294,2025,0.0,,4.0,,,,,
11198,2228519,323294,1198,0.0,1.0,1.0,,,0.0,,2001.0
11199,2228473,323294,1125,0.18,8.0,1.0,0.15,0.22,0.17,,2015.0
11200,2228492,323294,1091,456.0,13.0,1.0,436.0,474.0,456.0,,2001.0
11201,2228503,323294,1315,33.8,8.0,1.0,32.0,35.8,33.6,,2015.0
11202,2228494,323294,1007,3.47,13.0,1.0,2.78,4.32,3.36,,2001.0
11203,2228454,323294,1261,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11204,2228469,323294,1004,57.8,13.0,1.0,53.1,60.0,59.0,,2001.0
11205,2228537,323294,1129,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11206,2228491,323294,1090,258.0,13.0,1.0,242.0,273.0,260.0,,2001.0
11207,2228441,323294,1271,0.005,8.0,1.0,0.004,0.006,0.005,,2015.0
11208,2228552,323294,2022,0.005,,4.0,,,,,
11209,2228474,323294,1126,0.92,8.0,1.0,0.33,1.44,0.96,,2015.0
11210,2228444,323294,1262,0.0,8.0,1.0,0.0,0.003,0.0,,2015.0
11211,2228521,323294,1195,56.1,1.0,1.0,,,56.1,,2001.0
11212,2228506,323294,1323,0.061,8.0,1.0,0.057,0.066,0.06,,2015.0
11213,2228496,323294,1166,1.57,8.0,1.0,1.32,1.86,1.63,,2015.0
11214,2228465,323294,1092,684.0,13.0,1.0,612.0,744.0,686.0,,2001.0
11215,2228534,323294,1305,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11216,2228504,323294,1316,14.5,8.0,1.0,13.1,16.1,14.4,,2015.0
11217,2228549,323294,2016,14.5,,4.0,,,,,
11218,2228443,323294,1313,0.0,8.0,1.0,0.0,0.003,0.0,,2015.0
11219,2228554,323294,2024,0.0,,4.0,,,,,
11220,2228528,323294,1411,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11221,2228452,323294,1301,0.024,8.0,1.0,0.006,0.063,0.014,,2015.0
11222,2228518,323294,1197,0.4,1.0,1.0,,,0.4,,2001.0
11223,2228527,323294,1314,0.259,8.0,1.0,0.232,0.285,0.26,,2015.0
11224,2228516,323294,1002,3.94,13.0,1.0,3.78,4.29,3.9,,2001.0
11225,2228456,323294,1278,0.002,8.0,1.0,0.0,0.012,0.0,,2015.0
11226,2228490,323294,1089,3.17,13.0,1.0,2.92,3.55,3.13,,2001.0
11227,2228513,323294,1120,9.0,1.0,1.0,,,9.0,,2015.0
11228,2228540,323294,1131,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11229,2228493,323294,1003,20.4,,49.0,19.6,22.2,20.2,,
11230,2228524,323294,2014,0.001,8.0,1.0,0.0,0.004,0.0,,2015.0
11231,2228453,323294,1312,0.001,8.0,1.0,0.0,0.005,0.0,,2015.0
11232,2228464,323294,1087,273.0,13.0,1.0,220.0,301.0,280.0,,2001.0
11233,2228479,323294,1266,0.828,8.0,1.0,0.731,0.972,0.809,,2015.0
11234,2228484,323294,1014,0.0,3.0,1.0,0.0,0.0,0.0,,2015.0
11235,2228446,323294,1107,17.0,1.0,1.0,,,17.0,,2015.0
11236,2228458,323294,1180,60.8,1.0,1.0,,,60.8,,2001.0
11237,2228535,323294,1405,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11238,2228541,323294,1183,0.0,1.0,1.0,,,0.0,,2015.0
11239,2228442,323294,1299,0.008,8.0,1.0,0.007,0.009,0.008,,2015.0
11240,2228526,323294,1311,0.006,8.0,1.0,0.005,0.007,0.006,,2015.0
11241,2228553,323294,2023,0.002,,4.0,,,,,
11242,2228536,323294,1334,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11243,2228488,323294,1062,2590.0,,49.0,,,,,
11244,13338507,323294,2047,667.0,,1.0,,,,,
11245,13338409,323294,2048,621.0,,49.0,,,,,
11964,2229380,323444,1183,3.1,2.0,1.0,3.0,3.2,3.1,,2016.0
11965,2229347,323444,2009,0.117,11.0,1.0,0.085,0.136,0.121,,2016.0
11966,2229299,323444,1166,0.327,7.0,1.0,0.27,0.42,0.32,,2016.0
11967,2229291,323444,1316,0.259,11.0,1.0,0.201,0.32,0.255,,2016.0
11968,2229287,323444,1301,0.004,11.0,1.0,0.003,0.004,0.004,,2016.0
11969,2229361,323444,1212,0.365,2.0,1.0,0.33,0.4,0.365,,2016.0
11970,2229286,323444,1300,0.067,11.0,1.0,0.053,0.072,0.067,,2016.0
11971,2229318,323444,1271,0.015,11.0,1.0,0.012,0.017,0.015,,2016.0
11972,2229338,323444,1175,0.099,5.0,1.0,0.089,0.109,0.1,,2016.0
11973,2229344,323444,1109,0.27,2.0,1.0,0.27,0.28,0.27,,2016.0
11974,2229383,323444,2016,0.308,,4.0,,,,,
11975,2229297,323444,1405,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
11976,2229336,323444,1167,0.168,5.0,1.0,0.13,0.22,0.15,,2016.0
11977,2229345,323444,1185,0.6,2.0,1.0,0.6,0.6,0.6,,2016.0
11978,2229350,323444,1414,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
11979,2229393,323444,1106,127.0,,49.0,,,,,
11980,2229301,323444,1178,0.78,7.0,1.0,0.65,0.97,0.73,,2016.0
11981,2229382,323444,2010,0.021,,4.0,,,,,
11982,2229370,323444,1218,0.25,2.0,1.0,0.22,0.28,0.25,,2016.0
11983,2229339,323444,1004,11.0,11.0,1.0,8.2,12.6,11.2,,2016.0
11984,2229288,323444,1303,0.032,11.0,1.0,0.023,0.04,0.031,,2016.0
11985,2229353,323444,1002,1.22,11.0,1.0,0.82,1.7,1.09,,2016.0
11986,2229284,323444,1278,0.005,11.0,1.0,0.003,0.006,0.005,,2016.0
11987,2229346,323444,1335,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
11988,2229309,323444,1093,105.0,11.0,1.0,84.0,161.0,98.0,,2016.0
11989,2229295,323444,1333,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
11990,2229375,323444,1127,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
11991,2229281,323444,1264,1.15,11.0,1.0,0.854,1.34,1.17,,2016.0
11992,2229367,323444,1227,0.365,2.0,1.0,0.32,0.41,0.365,,2016.0
11993,2229316,323444,1266,1.02,11.0,1.0,0.78,1.17,1.04,,2016.0
11994,2229315,323444,1265,3.36,11.0,1.0,2.35,3.81,3.47,,2016.0
11995,2229314,323444,1262,0.306,11.0,1.0,0.216,0.369,0.31,,2016.0
11996,2229319,323444,1276,0.001,11.0,1.0,0.0,0.003,0.0,,2016.0
11997,2229363,323444,1214,0.655,2.0,1.0,0.58,0.73,0.655,,2016.0
11998,2229327,323444,1313,0.001,11.0,1.0,0.0,0.003,0.0,,2016.0
11999,2229329,323444,1321,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
12000,2229368,323444,1211,0.395,2.0,1.0,0.35,0.44,0.395,,2016.0
12001,2229352,323444,1334,0.0,11.0,1.0,0.0,0.0,0.0,,2016.0
12002,2229320,323444,1292,2.56,,4.0,,,,,
12003,2229341,323444,1008,157.0,,49.0,,,,,
12004,2229385,323444,2020,0.012,,4.0,,,,,
12005,2229360,323444,1221,0.175,2.0,1.0,0.16,0.19,0.175,,2016.0
12006,2229388,323444,2024,0.007,,4.0,,,,,
12007,2229313,323444,1260,0.199,11.0,1.0,0.142,0.242,0.204,,2016.0
12008,2229325,323444,1306,0.068,11.0,1.0,0.052,0.076,0.069,,2016.0
12009,2229377,323444,1126,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
